性别,最高学历,大学类型,标准化借款类型,担保,项目金额,收益,周期_月,月还本息,总还款本息,借款描述字数,累积借款金额,累积还款金额,累积逾期金额,累积已还次数,累积逾期次数,累积逾借金额比,累积逾期次数比,安全标
男,本科,其他,学习进修,是,1000,65.95,5,213.19,1065.95,24,3000,1682.68,3533.46,6,9,0.54082525,0.6,0
男,本科,重点高校,购物,是,1000,59.12,6,176.52,1059.119,189,0,0,0,0,0,0,0,1
男,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,7,8618.95,9393.98,0,67,0,0,0,1
男,本科,重点高校,生活开销,是,500,38.6199,6,89.77,538.62,3,1500,1672.98,0,12,0,0,0,1
男,本科,其他,生活开销,是,1000,25.06,2,512.53,1025.06,73,3400,3645,0,24,0,0,0,1
男,硕士研究生,其他,生活开销,是,1000,59.12,6,176.52,1059.119,13,4420,4722.54,0,12,0,0,0,1
男,专科,其他,旅游,是,1000,77.18,6,179.53,1077.18,14,9000,10347.23,0,66,0,0,0,1
男,本科,重点高校,旅游,是,1000,77.18,6,179.53,1077.18,6,4000,4308.72,0,24,0,0,0,1
女,本科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,55,5000,6526.84,0,30,0,0,0,1
男,本科,其他,生活开销,是,1000,77.18,6,179.53,1077.18,39,3000,3186.98,0,14,0,0,0,1
男,本科,其他,旅游,是,1000,74.18,6,179.03,1074.18,5,1000,1074.18,0,6,0,0,0,1
男,本科,其他,旅游,是,1000,74.18,6,179.03,1074.18,5,2000,2148.36,0,12,0,0,0,1
男,专科,其他,购物,是,1000,59.12,6,176.52,1059.119,22,4000,4290.81,0,24,0,0,0,1
男,本科,重点高校,其他,是,262.11,20.25,6,47.06,282.36,0,6483.69,7087.15,0,48,0,0,0,1
男,本科,其他,购物,否,200,15.46,6,35.90999,215.46,12,2000,2308.48,0,12,0,0,0,1
男,本科,其他,购物,是,400,30.86,6,71.81,430.86,29,0,0,0,0,0,0,0,1
男,本科,其他,学习进修,是,1000,74.18,6,179.03,1074.18,63,2000,2148.3,0,12,0,0,0,1
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,23,2000,2154.36,0,12,0,0,0,1
男,本科,其他,旅游,是,400,30.86,6,71.81,430.86,2,7800,8514.51,0,43,0,0,0,1
男,本科,其他,旅游,是,1000,77.18,6,179.53,1077.18,16,9600,12821.61,0,66,0,0,0,1
女,博士研究生,重点高校,担保交易,是,1052.63,62.23,6,185.81,1114.859,0,443.16,469.4,0,12,0,0,0,1
女,博士研究生,重点高校,担保交易,是,115.79,6.85,6,20.44,122.64,0,8790.96,9310.9,0,72,0,0,0,1
男,本科,其他,付房租,是,1000,59.12,6,176.52,1059.119,84,4000,4255.15,0,24,0,0,0,1
女,本科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,44,0,0,0,0,0,0,0,1
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,1,12755.79,14036.28,0,89,0,0,0,1
男,专科,其他,购物,是,1000,77.18,6,179.53,1077.18,13,5000,5904.01,0,30,0,0,0,1
女,专科,重点高校,旅游,是,1000,77.18,6,179.53,1077.18,11,11748.42,12632.06,0,90,0,0,0,1
男,本科,其他,生活开销,是,1000,59.12,6,176.52,1059.119,14,3000,3195.36,0,18,0,0,0,1
男,专科,其他,购物,是,1000,59.12,6,176.52,1059.119,26,2000,2939.45,0,12,0,0,0,1
男,本科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,15,5900,7226.55,2185.7,38,4,0.27031672,0.0952381,0
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,115,1000,1074.24,0,6,0,0,0,1
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,11,10400,11163.42,0,79,0,0,0,1
男,本科,其他,学习进修,否,800,34.9,3,278.3,834.9,8,996.84,1156.77,0,14,0,0,0,1
女,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,4,1500,1615.8,0,12,0,0,0,1
男,本科,重点高校,社交娱乐,是,500,29.56,6,88.26,529.5599,3,6750,7167.83,0,86,0,0,0,1
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,2,0,0,0,0,0,0,0,1
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,2,1000,1077.18,0,6,0,0,0,1
男,专科,其他,生活开销,是,500,29.56,6,88.26,529.5599,9,2000,1510.35,3459.55,7,5,0.63366944,0.41666666,0
男,本科,其他,旅游,否,1000,77.18,6,179.53,1077.18,19,4000,4290.91,0,24,0,0,0,1
男,专科,其他,创业,否,1000,21.67,1,1021.67,1021.67,26,4000,4696.77,0,19,0,0,0,1
女,本科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,10,12000,12926.28,0,78,0,0,0,1
男,本科,其他,付房租,是,1000,77.18,6,179.53,1077.18,19,6997.58,9080.77,0,48,0,0,0,1
男,本科,其他,购物,是,1000,21.67,1,1021.67,1021.67,12,22997.58,31399.36,0,121,0,0,0,1
男,本科,其他,学习进修,是,1000,59.12,6,176.52,1059.119,14,2480.21,2644.96,0,24,0,0,0,1
男,本科,重点高校,购物,是,1000,59.12,6,176.52,1059.119,217,2000,2127.87,0,12,0,0,0,1
女,本科,其他,旅游,是,1000,77.18,6,179.53,1077.18,42,2000,2697.29,0,12,0,0,0,1
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,39,4000,4308.72,0,24,0,0,0,1
男,本科,其他,担保交易,否,167.37,5.45,2,86.41,172.82,0,0,0,0,0,0,0,0,1
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,25,6000,7421.74,0,36,0,0,0,1
男,本科,其他,学习进修,是,1000,59.12,6,176.52,1059.119,23,2000,2136.3,0,12,0,0,0,1
男,专科,其他,旅游,是,1000,77.18,6,179.53,1077.18,4,7200,7293.02,1338.52,49,3,0.15676253,0.057692308,0
男,专科,其他,创业,是,1000,43.64,3,347.88,1043.64,33,1000,1043.64,0,3,0,0,0,1
男,本科,其他,生活开销,否,500,16.3,2,258.1499,516.2999,10,4500,5247.61,0,19,0,0,0,1
男,专科,其他,旅游,是,1000,77.18,6,179.53,1077.18,32,8000,5789.66,12641.2,26,22,0.6124256,0.45833334,0
男,本科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,4,1000,1412.35,0,6,0,0,0,1
男,本科,其他,购物,是,1000,21.67,1,1021.67,1021.67,5,2400,2440.01,0,3,0,0,0,1
女,本科,其他,生活开销,是,1000,59.12,6,176.52,1059.119,6,3122.11,3348.68,0,21,0,0,0,1
男,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,44,2000,2154.36,0,12,0,0,0,1
男,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,7,2000,2007.77,793.71,11,1,0.28410608,0.083333336,0
男,本科,重点高校,其他,是,713.68,55.1,6,128.13,768.78,0,4000,4323.97,0,19,0,0,0,1
男,本科,重点高校,购物,是,1000,77.18,6,179.53,1077.18,2,11999.68,10684.05,5240.9,52,16,0.30398628,0.23529412,0
女,本科,重点高校,旅游,是,1000,21.67,1,1021.67,1021.67,18,9000,9588.29,0,54,0,0,0,1
男,专科,其他,生活开销,否,1000,59.12,6,176.52,1059.119,14,1569.42,1650.4,0,13,0,0,0,1
男,专科,其他,购物,是,124.67,7.39,6,22.01,132.06,2,13069.16,15095.93,0,97,0,0,0,1
女,本科,其他,学习进修,否,1000,77.18,6,179.53,1077.18,94,0,0,0,0,0,0,0,1
女,硕士研究生,其他,其他,是,381.05,22.51,6,67.26,403.56,0,10818.15,11524.24,0,102,0,0,0,1
男,专科,其他,创业,是,1000,77.18,6,179.53,1077.18,47,1000,1077.18,0,6,0,0,0,1
男,本科,其他,购物,是,800,59.32,6,143.22,859.32,11,4000,4301.46,0,24,0,0,0,1
男,本科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,13,3000,3225.93,0,23,0,0,0,1
男,本科,其他,生活开销,是,1000,77.18,6,179.53,1077.18,16,1000,1305.52,782.45,5,1,0.43897444,0.16666666,0
女,本科,其他,担保交易,是,484.21,28.61,6,85.47,512.82,0,8948,10869.64,0,46,0,0,0,1
男,本科,其他,担保交易,是,426.32,32.92,6,76.54,459.24,0,1420,1527.06,0,12,0,0,0,1
男,本科,其他,购物,是,300,23.16,6,53.86,323.16,19,1000,1195.2,0,6,0,0,0,1
男,本科,其他,购物,是,200,11.8,6,35.29999,211.8,1,3800,4829.09,0,37,0,0,0,1
男,本科,重点高校,生活开销,是,1000,54.76,4,263.69,1054.76,43,7000,7469.93,0,32,0,0,0,1
男,本科,其他,创业,是,1000,21.67,1,1021.67,1021.67,7,18000,19147.19,0,40,0,0,0,1
男,本科,其他,生活开销,是,1000,62.12,6,177.02,1062.119,14,4600,4859.76,0,24,0,0,0,1
女,本科,其他,创业,是,1000,46.24,4,261.56,1046.24,15,0,0,0,0,0,0,0,1
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,12,8000,9628.98,0,48,0,0,0,1
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,17,3000,3231.54,0,18,0,0,0,1
男,专科,其他,创业,是,1000,77.18,6,179.53,1077.18,25,7000,7760.33,0,35,0,0,0,1
女,博士研究生,重点高校,担保交易,是,122,5.74,6,21.29,127.74,0,7882.1,8323.77,0,30,0,0,0,1
男,本科,其他,生活开销,是,300,8.66,2,154.33,308.66,4,0,0,0,0,0,0,0,1
男,本科,其他,其他,是,136.14,10.5,6,24.44,146.6399,0,2534.74,575.79,10395.39,4,17,0.8039664,0.8095238,0
男,本科,其他,旅游,是,1000,77.18,6,179.53,1077.18,7,3000,3585.41,0,18,0,0,0,1
男,本科,重点高校,生活开销,是,500,29.56,6,88.26,529.5599,21,4000,4280.75,0,26,0,0,0,1
男,本科,重点高校,旅游,是,1000,59.12,6,176.52,1059.119,28,8000,8518.05,0,56,0,0,0,1
男,专科,其他,付房租,是,1000,50.55,5,210.11,1050.55,15,3000,3705.42,0,11,0,0,0,1
女,本科,其他,生活开销,是,1000,77.18,6,179.53,1077.18,46,0,0,0,0,0,0,0,1
男,本科,其他,购物,是,700,41.42,6,123.57,741.42,2,3800,4019.59,0,23,0,0,0,1
男,专科,其他,旅游,否,1000,77.18,6,179.53,1077.18,13,8000,8877.01,0,48,0,0,0,1
男,专科,其他,创业,是,1000,68.12,6,178.02,1068.119,16,1000,1228.18,0,3,0,0,0,1
男,本科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,13,0,0,0,0,0,0,0,1
男,本科,其他,购物,是,500,38.6199,6,89.77,538.62,0,4500,4847.34,0,30,0,0,0,1
男,本科,其他,创业,是,1000,16.67,1,1016.67,1016.67,34,3000,3666.85,0,3,0,0,0,1
男,本科,其他,旅游,是,1000,77.18,6,179.53,1077.18,9,2894.74,3118.13,0,6,0,0,0,1
男,本科,其他,其他,是,250.53,19.35,6,44.98,269.88,0,10691.58,12231.58,0,79,0,0,0,1
女,本科,其他,其他,是,473.4,28.02,6,83.57,501.42,0,8939.73,9633,0,120,0,0,0,1
男,专科,其他,购物,是,400,30.86,6,71.81,430.86,4,2000,2154.36,0,12,0,0,0,1
男,本科,其他,生活开销,是,1000,77.18,6,179.53,1077.18,61,800,862.53,0,6,0,0,0,1
女,博士研究生,重点高校,其他,是,2111.58,99.6,6,368.53,2211.179,0,6631.58,6944.48,0,12,0,0,0,1
女,博士研究生,重点高校,担保交易,是,421.05,19.89,6,73.48999,440.94,0,4547.37,4789.06,0,6,0,0,0,1
男,专科,其他,其他,是,1472.63,113.65,6,264.38,1586.28,0,0,0,0,0,0,0,0,1
男,本科,其他,生活开销,是,300,23.16,6,53.86,323.16,17,4683.16,4960.17,0,6,0,0,0,1
男,本科,其他,购物,是,200,15.46,6,35.90999,215.46,2,4000,4269,0,30,0,0,0,1
男,本科,其他,生活开销,是,1000,77.18,6,179.53,1077.18,8,0,0,0,0,0,0,0,1
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,6,2000,2154.36,0,12,0,0,0,1
男,本科,重点高校,购物,是,1000,77.18,6,179.53,1077.18,38,1000,1077.18,0,6,0,0,0,1
男,本科,其他,付房租,否,1000,77.18,6,179.53,1077.18,43,2000,2693.11,0,12,0,0,0,1
男,本科,其他,购物,是,150,8.88,6,26.48,158.88,9,3400,4225.64,0,24,0,0,0,1
男,专科,其他,生活开销,否,500,10.83,1,510.83,510.83,20,0,0,0,0,0,0,0,0
男,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,19,2000,2455.45,0,12,0,0,0,1
男,本科,其他,旅游,是,1000,77.18,6,179.53,1077.18,31,1000,1077.18,0,6,0,0,0,1
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,10,2000,2154.36,0,12,0,0,0,1
男,本科,其他,其他,是,2314.74,178.68,6,415.57,2493.42,0,0,0,0,0,0,0,0,1
女,本科,其他,其他,否,3000,177.42,6,529.57,3177.42,0,0,0,0,0,0,0,0,1
男,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,15,0,0,0,0,0,0,0,1
男,本科,其他,生活开销,是,1000,77.18,6,179.53,1077.18,21,9800,10433.88,0,60,0,0,0,1
男,本科,其他,学习进修,是,500,38.6199,6,89.77,538.62,38,3104.21,3343.8,0,12,0,0,0,1
男,专科,其他,购物,是,900,53.22,6,158.87,953.22,21,1500,1593.18,0,12,0,0,0,1
男,本科,其他,旅游,是,1000,77.18,6,179.53,1077.18,4,6997.89,7527.11,0,50,0,0,0,1
男,本科,其他,生活开销,否,1000,27.58,2,513.79,1027.58,19,0,0,0,0,0,0,0,1
男,专科,其他,购物,是,1000,21.67,1,1021.67,1021.67,44,0,0,0,0,0,0,0,1
女,博士研究生,重点高校,其他,是,631.58,29.8,6,110.23,661.38,0,4631.58,4850.1,0,6,0,0,0,1
女,博士研究生,重点高校,其他,是,926.32,43.7,6,161.6699,970.02,0,7374,7721.9,0,30,0,0,0,1
女,博士研究生,重点高校,其他,是,497.89,23.51,6,86.9,521.4,0,7390.09,7738.83,0,48,0,0,0,1
女,博士研究生,重点高校,其他,是,589.47,27.81,6,102.88,617.28,0,7887.98,8260.21,0,54,0,0,0,1
女,博士研究生,重点高校,其他,是,792.61,37.3699,6,138.33,829.98,0,1459.21,1528.15,0,18,0,0,0,1
女,博士研究生,重点高校,其他,是,417.02,19.66,6,72.78,436.68,0,10237.19,10720.13,0,174,0,0,0,1
女,博士研究生,重点高校,其他,是,144.08,6.82,6,25.15,150.9,0,6886.99,7211.95,0,126,0,0,0,1
女,博士研究生,重点高校,其他,是,985.16,46.48,6,171.94,1031.64,0,2496.84,2614.69,0,18,0,0,0,1
女,博士研究生,重点高校,其他,是,168.77,7.99,6,29.46,176.76,0,8821.73,9237.83,0,126,0,0,0,1
女,博士研究生,重点高校,其他,是,282.98,13.36,6,49.39,296.3399,0,8990.5,9414.59,0,132,0,0,0,1
女,专科,其他,购物,是,200,10.96,4,52.74,210.96,37,3800,0,18055.39,0,21,0.82612985,1,0
男,本科,其他,购物,是,1000,60.8,5,212.16,1060.8,21,1000,1406.41,0,5,0,0,0,1
男,本科,其他,旅游,否,600,13,1,613,613,5,14946.79,11041.57,14500.47,34,6,0.49242172,0.15,0
女,本科,重点高校,生活开销,是,1000,68.12,6,178.02,1068.119,2,3000,3204.36,0,18,0,0,0,1
女,本科,其他,生活开销,否,1000,77.18,6,179.53,1077.18,86,0,0,0,0,0,0,0,0
男,专科,其他,付房租,否,110,2.29,1,112.29,112.29,6,2230,1906.46,976.77,12,4,0.30459622,0.25,1
男,本科,重点高校,购物,是,300,6.5,1,306.5,306.5,17,7700,8045.97,0,71,0,0,0,1
男,本科,重点高校,生活开销,是,500,38.6199,6,89.77,538.62,19,10700,11191.98,0,101,0,0,0,1
男,专科,其他,购物,是,300,13.08,3,104.36,313.08,2,0,0,0,0,0,0,0,1
男,本科,其他,创业,否,1000,21.67,1,1021.67,1021.67,5,2000,2192.4,0,12,0,0,0,1
男,本科,其他,社交娱乐,是,500,10.83,1,510.83,510.83,3,9000,9899.57,0,49,0,0,0,1
男,本科,其他,付房租,是,1000,77.18,6,179.53,1077.18,21,1000,1074.18,0,6,0,0,0,1
女,本科,其他,旅游,是,1000,47.18,6,174.53,1047.18,4,5000,5235.96,0,30,0,0,0,1
女,本科,其他,学习进修,是,1000,47.18,6,174.53,1047.18,2,1000,1047.18,0,6,0,0,0,1
女,本科,其他,生活开销,是,1000,47.18,6,174.53,1047.18,4,4000,4188.78,0,24,0,0,0,1
女,本科,重点高校,付房租,是,1000,47.18,6,174.53,1047.18,2,0,0,0,0,0,0,0,1
女,本科,其他,生活开销,是,1000,47.18,6,174.53,1047.18,2,0,0,0,0,0,0,0,1
女,本科,其他,购物,是,1000,47.18,6,174.53,1047.18,3,2000,2094.48,0,12,0,0,0,1
女,本科,其他,学习进修,是,1000,47.18,6,174.53,1047.18,2,0,0,0,0,0,0,0,1
女,本科,其他,购物,是,1000,47.18,6,174.53,1047.18,2,0,0,0,0,0,0,0,1
女,本科,其他,社交娱乐,是,1000,47.18,6,174.53,1047.18,5,1000,1047.24,0,6,0,0,0,1
男,本科,其他,生活开销,是,1000,54.76,4,263.69,1054.76,39,0,0,0,0,0,0,0,1
女,专科,其他,旅游,否,1000,21.67,1,1021.67,1021.67,4,6500,6933.69,0,25,0,0,0,1
女,专科,其他,购物,是,1000,77.18,6,179.53,1077.18,8,9500,10057.15,0,33,0,0,0,1
男,本科,其他,学习进修,是,500,16.3,2,258.1499,516.2999,5,500,516.3,0,2,0,0,0,1
男,本科,其他,学习进修,是,1000,32.6199,2,516.3099,1032.619,7,2000,2065.24,0,4,0,0,0,1
男,本科,其他,购物,是,600,46.32,6,107.72,646.32,13,2031.58,2188.4,0,6,0,0,0,1
男,专科,其他,学习进修,否,1000,77.18,6,179.53,1077.18,2,3000,3231.72,0,18,0,0,0,1
男,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,10,18999,20338.98,0,114,0,0,0,1
男,本科,其他,旅游,是,1000,77.18,6,179.53,1077.18,6,2618.95,2919.64,0,22,0,0,0,1
男,本科,其他,旅游,是,600,40.86,6,106.81,640.86,19,4400,5598.77,0,29,0,0,0,1
女,本科,其他,购物,否,1000,33.53,3,344.51,1033.53,35,1000,1033.5,0,3,0,0,0,1
男,本科,其他,旅游,是,1000,77.18,6,179.53,1077.18,19,4000,4281.87,0,28,0,0,0,0
男,硕士研究生,其他,学习进修,是,500,16.3,2,258.1499,516.2999,41,0,0,0,0,0,0,0,1
男,本科,其他,创业,否,1000,43.64,3,347.88,1043.64,154,0,0,0,0,0,0,0,1
男,本科,其他,创业,是,1000,59.12,6,176.52,1059.119,62,1000,1237.64,0,3,0,0,0,1
男,本科,其他,其他,是,2688.47,175.15,6,477.27,2863.62,0,1461.05,1517.41,0,3,0,0,0,1
男,本科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,5,4000,4410.6,0,24,0,0,0,1
男,本科,其他,创业,是,1000,43.64,3,347.88,1043.64,13,0,0,0,0,0,0,0,1
男,本科,其他,购物,是,1000,59.12,6,176.52,1059.119,30,3367.37,3566.31,0,18,0,0,0,1
男,本科,其他,生活开销,是,200,4.33,1,204.33,204.33,12,0,0,0,0,0,0,0,1
男,本科,其他,学习进修,是,500,13.8,2,256.8999,513.7999,13,50,51.04,0,1,0,0,0,1
男,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,13,3000,3231.54,0,18,0,0,0,1
男,专科,其他,旅游,是,1000,77.18,6,179.53,1077.18,8,0,0,0,0,0,0,0,1
男,本科,其他,生活开销,是,600,26.19,3,208.73,626.19,17,3400,3708.06,0,20,0,0,0,1
男,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,23,3000,3232.11,0,18,0,0,0,1
男,本科,其他,旅游,是,1000,21.67,1,1021.67,1021.67,6,13207.8,14779.65,0,93,0,0,0,0
男,专科,其他,创业,是,1000,77.18,6,179.53,1077.18,27,3000,3195.67,0,18,0,0,0,1
男,本科,其他,购物,是,50,3.88,6,8.98,53.88,4,2776.32,2987.86,0,19,0,0,0,1
男,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,2,1000,685.75,2018.92,3,3,0.6687557,0.5,0
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,26,2000,2154.36,0,12,0,0,0,1
男,专科,其他,购物,是,1000,21.67,1,1021.67,1021.67,12,9000,9676.92,0,60,0,0,0,1
男,专科,其他,购物,否,1000,77.18,6,179.53,1077.18,12,525.26,565.8,0,6,0,0,0,1
男,本科,其他,生活开销,是,500,38.6199,6,89.77,538.62,7,1851.58,2163.16,0,12,0,0,0,1
男,本科,其他,创业,是,1000,21.67,1,1021.67,1021.67,6,0,0,0,0,0,0,0,1
男,专科,其他,购物,否,1000,18.3299,1,1018.33,1018.33,20,0,0,0,0,0,0,0,1
女,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,7,1000,1077.18,0,6,0,0,0,1
女,本科,其他,学习进修,是,500,38.6199,6,89.77,538.62,13,5000,5385.9,0,30,0,0,0,1
女,本科,其他,购物,是,500,38.6199,6,89.77,538.62,8,6000,6463.14,0,42,0,0,0,1
男,本科,其他,创业,否,1000,77.18,6,179.53,1077.18,24,2000,2151.42,0,12,0,0,0,1
男,本科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,26,0,0,0,0,0,0,0,1
男,本科,其他,学习进修,是,500,10.83,1,510.83,510.83,5,1540,1763.32,0,12,0,0,0,1
男,本科,其他,学习进修,是,1000,74.18,6,179.03,1074.18,35,2000,2111.76,0,9,0,0,0,1
女,本科,其他,旅游,是,500,38.6199,6,89.77,538.62,8,2000,2118.24,0,12,0,0,0,1
女,本科,重点高校,生活开销,否,500,29.56,6,88.26,529.5599,5,1000,1077.24,0,6,0,0,0,1
男,本科,其他,其他,是,5000,295.66,6,882.61,5295.66,0,0,0,0,0,0,0,0,1
男,本科,其他,其他,是,2018.95,155.81,6,362.46,2174.76,0,0,0,0,0,0,0,0,1
男,专科,其他,旅游,是,1000,77.18,6,179.53,1077.18,2,3200,3549.17,1108,20,4,0.25719592,0.16666667,0
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,6,5000,4272.48,2948.76,24,6,0.37097108,0.2,0
男,本科,其他,付房租,是,1000,77.18,6,179.53,1077.18,56,2000,2325.08,0,12,0,0,0,1
男,本科,其他,旅游,是,1000,43.64,3,347.88,1043.64,22,10390.64,11192.61,0,78,0,0,0,1
男,本科,其他,旅游,是,1000,77.18,6,179.53,1077.18,13,0,0,0,0,0,0,0,1
男,专科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,0,1000,1181.08,902.9,4,2,0.47448632,0.3333333,0
男,专科,重点高校,购物,是,1000,77.18,6,179.53,1077.18,6,3400,4266.32,0,21,0,0,0,1
女,本科,其他,旅游,是,1000,77.18,6,179.53,1077.18,17,12000,12837.06,0,64,0,0,0,1
男,硕士研究生,其他,生活开销,是,1000,77.18,6,179.53,1077.18,4,3000,362.38,11755.55,2,16,0.79668665,0.8888889,0
男,本科,其他,创业,是,1000,65.12,6,177.52,1065.119,65,2000,2130.35,0,12,0,0,0,1
男,本科,其他,购物,是,1000,47.18,6,174.53,1047.18,4,1000,1047.18,0,6,0,0,0,1
男,本科,重点高校,旅游,是,1000,47.18,6,174.53,1047.18,10,1000,1047.18,0,6,0,0,0,1
男,本科,其他,旅游,是,1000,47.18,6,174.53,1047.18,8,3000,3141.66,0,18,0,0,0,1
男,本科,其他,学习进修,是,1000,47.18,6,174.53,1047.18,9,1000,1047.18,0,6,0,0,0,1
男,本科,其他,社交娱乐,是,1000,47.18,6,174.53,1047.18,11,1000,1047.18,0,6,0,0,0,1
男,本科,其他,生活开销,是,100,7.7,6,17.95,107.7,6,2100,2262.31,0,18,0,0,0,1
女,本科,其他,购物,是,300,17.76,6,52.96,317.76,11,0,0,0,0,0,0,0,1
男,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,18,21000,23026.83,0,126,0,0,0,1
男,本科,其他,学习进修,否,1000,32.6199,2,516.3099,1032.619,18,0,0,0,0,0,0,0,1
男,专科,其他,购物,是,526.32,8.77,1,535.09,535.09,0,4722.7,4932.25,0,42,0,0,0,1
男,本科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,6,0,0,0,0,0,0,0,1
男,本科,其他,生活开销,是,1000,21.67,1,1021.67,1021.67,18,1000,1091.44,0,1,0,0,0,1
男,本科,重点高校,其他,是,840,64.86,6,150.81,904.86,0,4000,4275.18,0,21,0,0,0,1
男,专科,其他,学习进修,否,1000,65.12,6,177.52,1065.119,33,0,0,0,0,0,0,0,0
男,本科,其他,旅游,是,1000,77.18,6,179.53,1077.18,19,7800,8433.96,0,33,0,0,0,1
男,本科,其他,创业,否,1000,52.64,4,263.16,1052.64,19,2000,2174.48,0,9,0,0,0,1
男,专科,其他,学习进修,否,1000,77.18,6,179.53,1077.18,8,0,0,0,0,0,0,0,1
男,本科,其他,其他,是,124.21,9.59,6,22.3,133.8,0,4145.26,7759.26,0,30,0,0,0,1
男,专科,其他,其他,是,1894.74,146.28,6,340.17,2041.02,0,1000,0,3607.31,0,6,0.7829536,1,0
男,专科,其他,购物,是,1000,65.95,5,213.19,1065.95,19,3000,3472.26,0,16,0,0,0,1
男,本科,其他,生活开销,是,1000,77.18,6,179.53,1077.18,9,0,0,0,0,0,0,0,1
男,本科,其他,学习进修,是,1000,47.18,6,174.53,1047.18,8,3000,3141.66,0,18,0,0,0,1
女,本科,其他,学习进修,是,1000,47.18,6,174.53,1047.18,5,3000,3141.66,0,18,0,0,0,1
女,本科,其他,创业,是,1000,47.18,6,174.53,1047.18,87,3000,3141.78,0,18,0,0,0,1
女,本科,其他,生活开销,是,1000,47.18,6,174.53,1047.18,4,5000,4188.84,0,24,0,0,0,1
女,本科,其他,创业,是,1000,47.18,6,174.53,1047.18,21,0,0,0,0,0,0,0,1
女,本科,其他,购物,是,1000,47.18,6,174.53,1047.18,9,2000,2094.36,0,12,0,0,0,1
男,专科,其他,购物,是,1000,77.18,6,179.53,1077.18,9,2400,2897.2,0,16,0,0,0,1
男,本科,其他,付房租,是,400,30.86,6,71.81,430.86,9,2000,2639.7,0,12,0,0,0,1
男,本科,其他,其他,是,3040,234.68,6,545.78,3274.68,0,0,0,0,0,0,0,0,1
女,本科,其他,购物,是,700,54.02,6,125.67,754.02,15,11415.79,12297.14,0,84,0,0,0,1
女,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,15,15415.79,16605.86,0,114,0,0,0,1
男,本科,其他,旅游,是,1000,43.64,3,347.88,1043.64,32,0,0,0,0,0,0,0,0
男,专科,其他,旅游,是,1000,77.18,6,179.53,1077.18,3,2400,2585.22,0,18,0,0,0,1
男,本科,其他,生活开销,是,1000,62.12,6,177.02,1062.119,4,2000,2139.18,0,12,0,0,0,1
男,专科,其他,旅游,是,500,38.6199,6,89.77,538.62,15,3749.66,4002.39,0,30,0,0,0,1
男,本科,其他,付房租,是,1000,77.18,6,179.53,1077.18,11,1000,1157.26,0,6,0,0,0,1
女,本科,其他,购物,是,1000,74.18,6,179.03,1074.18,2,1000,590.26,1742.98,3,3,0.635433,0.5,0
男,专科,其他,创业,是,1000,77.18,6,179.53,1077.18,28,4000,4339.24,0,17,0,0,0,1
男,本科,其他,购物,是,1000,59.12,6,176.52,1059.119,2,452.63,239.69,764.81,3,3,0.6282117,0.5,0
男,本科,其他,旅游,是,1000,77.18,6,179.53,1077.18,16,2000,2518.98,1142.7,10,2,0.36360455,0.16666667,0
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,4,4000,4272.54,0,24,0,0,0,1
男,本科,其他,生活开销,是,1000,74.18,6,179.03,1074.18,4,0,0,0,0,0,0,0,1
男,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,33,0,0,0,0,0,0,0,0
